utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
0, 0, 81920, 1
0, 0, 81920, 79623
2, 0, 81920, 79623
0, 0, 81920, 79623
2, 0, 81920, 79623
0, 0, 81920, 79623
1, 0, 81920, 79623
2, 0, 81920, 79623
1, 0, 81920, 79623
2, 0, 81920, 79623
0, 0, 81920, 79623
0, 0, 81920, 79623
2, 0, 81920, 79623
0, 0, 81920, 79623
0, 0, 81920, 79623
2, 0, 81920, 79623
2, 0, 81920, 79623
2, 0, 81920, 79623
2, 0, 81920, 79623
0, 0, 81920, 79623
0, 0, 81920, 79623
1, 0, 81920, 79623
0, 0, 81920, 79623
0, 0, 81920, 79623
0, 0, 81920, 79623
0, 0, 81920, 79623
0, 0, 81920, 79623
0, 0, 81920, 79623
0, 0, 81920, 79623
0, 0, 81920, 79623
0, 0, 81920, 79623
1, 0, 81920, 79623
